245.29	1.32919	0.6989
246.88	1.32836	0.71611
248.47	1.34291	0.73354
250.06	1.34512	0.74922
251.65	1.35123	0.76472
253.25	1.35789	0.77713
254.84	1.37202	0.79344
256.43	1.3769	0.80873
258.02	1.38787	0.82199
259.61	1.40523	0.83485
261.2	1.42017	0.84791
262.79	1.44113	0.86181
264.38	1.45845	0.87048
265.98	1.4776	0.87518
267.57	1.50403	0.88428
269.16	1.51879	0.88463
270.75	1.53865	0.88542
272.34	1.55925	0.8833
273.93	1.57749	0.88269
275.52	1.59637	0.87925
277.12	1.61051	0.8745
278.71	1.6249	0.86829
280.3	1.63126	0.86712
281.89	1.64358	0.86153
283.48	1.65438	0.85703
285.08	1.6666	0.85675
286.67	1.67606	0.85427
288.26	1.6851	0.85183
289.85	1.69895	0.84729
291.44	1.71159	0.84758
293.04	1.72477	0.84356
294.63	1.73879	0.84153
296.22	1.74974	0.83659
297.81	1.75792	0.83065
299.4	1.77321	0.82641
301	1.78349	0.81871
302.59	1.79533	0.81009
304.18	1.8031	0.79954
305.77	1.81092	0.78918
307.37	1.81519	0.77962
308.96	1.81855	0.77035
310.55	1.81717	0.76309
312.14	1.81688	0.75593
313.74	1.81567	0.75217
315.33	1.81469	0.75296
316.92	1.81677	0.75298
318.51	1.81743	0.75226
320.11	1.82341	0.754
321.7	1.82811	0.75472
323.29	1.83536	0.7553
324.89	1.84209	0.75268
326.48	1.8475	0.7521
328.07	1.85412	0.7498
329.66	1.85892	0.75021
331.26	1.86495	0.74825
332.85	1.87197	0.74883
334.44	1.88034	0.7467
336.04	1.88536	0.74417
337.63	1.89212	0.74257
339.22	1.89949	0.74211
340.82	1.90291	0.7391
342.41	1.91003	0.73534
344	1.91219	0.7329
345.6	1.92329	0.73046
347.19	1.92728	0.72969
348.78	1.9347	0.72698
350.38	1.93962	0.72863
351.97	1.94489	0.72752
353.56	1.95028	0.72726
355.16	1.95481	0.72921
356.75	1.96514	0.73307
358.34	1.97073	0.73422
359.94	1.98444	0.73798
361.53	1.99649	0.7413
363.12	2.01257	0.74098
364.72	2.03541	0.73748
366.31	2.05637	0.72662
367.9	2.07267	0.71363
369.5	2.08577	0.69815
371.09	2.097	0.68174
372.68	2.1061	0.66599
374.28	2.10988	0.65069
375.87	2.11139	0.63537
377.47	2.11431	0.62255
379.06	2.11616	0.61111
380.65	2.11571	0.60146
382.25	2.11904	0.59133
383.84	2.11911	0.58167
